,city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,food,life
673,Sarasota,United States,25.0,70.0,9.0,4.0,6.0,4.89,2.58,2.09,1.08,3.37,5.09,3.87,14.32,15.15,16.71,4.36,1.58,3.49,3.91,3.91,4.62,2.44,2.6,13.5,2.41,3.21,8.0,2.0,64.5,5.0,0.78,34.2,1.14,35000.0,33650.0,146.65,0.15,74.79,29.12,22.5,12.0,47.86,42.75,74.22,105.71,2091.67,1718.75,5225.0,2592.86,6443.99,3078.48,2800.0,5.4,324.21459999999996,2744.305833333333
674,Mississauga,Canada,11.12,59.29,8.89,4.82,5.19,3.38,1.41,1.15,1.79,2.13,2.16,2.99,9.73,9.19,11.13,2.96,1.04,2.55,3.14,2.58,2.15,2.08,1.11,10.86,1.96,2.22,11.12,2.78,107.1,3.15,1.85,25.94,1.39,19739.78,18733.3,125.29,0.68,55.32,42.15,25.2,9.91,48.1,39.84,94.62,103.35,1570.31,1386.53,2391.63,2072.37,7214.73,5614.65,3413.29,4.72,201.6953,2175.735566666667
676,Cagayan de Oro,Philippines,1.79,26.91,2.2,1.35,1.61,2.51,1.53,0.58,1.26,0.63,0.87,1.58,4.49,2.81,3.59,0.9,1.03,1.79,0.72,1.79,4.04,0.54,0.36,5.38,1.17,1.79,2.96,0.27,6.28,0.76,0.48,1.7,1.25,14353.64,21530.46,49.34,0.36,26.01,20.93,2.69,4.49,32.89,23.92,59.81,53.83,192.88,174.93,657.88,345.38,2781.02,2153.05,239.23,8.5,89.06540000000001,651.4470133333332
677,Birmingham,United States,15.5,60.0,8.25,5.5,7.99,5.06,2.38,1.71,1.05,3.79,3.75,3.98,8.84,13.48,12.12,6.55,1.55,6.62,5.15,6.0,4.63,1.92,2.32,13.0,3.04,2.72,7.0,1.38,55.0,4.5,1.24,39.0,1.17,23747.0,26672.0,213.78,0.1,69.43,46.75,15.67,10.0,65.57,41.71,81.29,114.75,1300.0,953.75,2140.0,1775.0,2870.38,2027.2,2929.9,5.43,317.88469999999995,1891.5976666666666
678,Torreon,Mexico,7.48,25.78,4.59,1.19,3.61,2.72,0.84,0.67,1.1,2.37,1.12,2.88,7.39,5.48,8.94,1.92,1.32,1.12,1.56,1.54,1.47,1.46,0.91,9.41,1.05,1.85,3.3,0.67,20.11,1.55,0.98,6.06,1.1,17249.83,16034.52,58.79,0.04,27.69,29.91,15.47,4.07,59.29,37.82,94.53,86.79,290.08,161.15,580.15,419.0,1168.9,899.02,730.56,10.75,157.3099,703.7811600000001
679,Dayton,United States,8.0,54.0,7.5,3.25,6.0,3.79,2.25,1.27,0.83,2.68,2.72,1.84,6.06,12.87,8.7,4.1,1.35,3.86,4.5,3.15,2.29,1.13,1.35,15.0,3.57,4.0,7.26,2.0,55.0,2.0,1.43,30.0,1.09,21250.0,22235.29,136.81,0.4,67.21,29.0,30.0,12.0,41.12,29.38,80.33,81.28,1096.25,766.67,1500.0,1225.0,,,3333.33,5.43,210.65699999999995,1626.73482
680,An Najaf,Iraq,5.6,15.0,6.67,5.0,,2.78,0.63,0.53,1.5,0.69,2.43,2.05,2.62,6.84,9.48,1.03,0.89,1.03,0.66,0.59,0.59,0.52,0.79,5.0,,5.0,2.08,0.84,30.0,3.0,0.84,4.2,0.34,11021.12,13575.31,84.61,0.08,26.18,27.33,12.5,9.17,31.55,13.34,25.12,42.59,166.78,83.39,397.82,293.3,1679.26,755.67,895.0,,122.56880000000001,408.59664666666674
685,Fresno,United States,15.0,60.0,9.0,5.62,7.0,4.99,2.56,1.43,1.17,2.67,3.16,2.83,10.71,11.51,17.77,3.88,1.46,3.15,3.55,1.67,1.82,1.5,2.16,9.0,2.51,3.29,9.43,1.5,37.5,4.0,1.52,40.0,1.48,24000.0,22225.0,280.82,0.25,67.72,34.0,45.0,14.0,41.86,30.0,66.87,101.25,1333.33,1400.0,2700.0,2300.0,2443.41,1614.59,4489.58,5.19,261.0562,1920.3366666666666
686,Rochester,United States,20.0,70.0,9.0,4.0,6.0,3.42,2.0,1.71,0.86,2.45,3.1,3.07,11.14,11.21,21.49,5.04,1.43,5.14,4.28,3.19,2.15,1.67,1.56,11.5,2.06,4.66,11.53,1.0,56.0,2.75,3.11,50.0,1.23,24195.0,23550.67,150.75,0.12,67.0,41.25,0.0,11.0,47.38,29.17,69.17,91.67,908.33,906.25,1650.0,2033.33,1345.49,,4275.0,5.4,253.48640000000003,1476.7620266666665
687,City of Paranaque,Philippines,2.69,21.53,2.47,2.24,2.24,2.24,0.81,0.48,1.44,0.99,0.81,1.52,3.17,4.19,5.5,1.75,1.91,2.15,0.84,1.88,2.0,1.44,0.87,5.02,1.09,1.58,2.56,0.34,8.97,0.72,0.72,1.7,1.27,25109.9,22122.55,129.18,0.16,26.01,43.06,7.18,4.84,34.54,24.45,65.79,47.1,627.97,369.46,897.1,717.68,5023.77,1794.2,,7.25,126.76099999999998,1097.6145666666666
